filename,expected,present,manifest_entry,hash_status,status
consistency_checks.csv,True,True,True,pass,pass
consistency_report.md,True,True,True,pass,pass
empirical_results_report.md,True,True,True,pass,pass
figures/figure_01_overall_estimator_tradeoff.pdf,True,True,True,pass,pass
figures/figure_01_overall_estimator_tradeoff.png,True,True,True,pass,pass
figures/figure_02_coverage_by_quantile.pdf,True,True,True,pass,pass
figures/figure_02_coverage_by_quantile.png,True,True,True,pass,pass
figures/figure_03_coverage_by_instrument_strength.pdf,True,True,True,pass,pass
figures/figure_03_coverage_by_instrument_strength.png,True,True,True,pass,pass
figures/figure_04_rmse_by_instrument_strength.pdf,True,True,True,pass,pass
figures/figure_04_rmse_by_instrument_strength.png,True,True,True,pass,pass
figures/figure_05_cr_length_by_instrument_strength.pdf,True,True,True,pass,pass
figures/figure_05_cr_length_by_instrument_strength.png,True,True,True,pass,pass
figures/figure_06_paired_estimator_differences.pdf,True,True,True,pass,pass
figures/figure_06_paired_estimator_differences.png,True,True,True,pass,pass
figures/figure_07_weak_scenario_structure.pdf,True,True,True,pass,pass
figures/figure_07_weak_scenario_structure.png,True,True,True,pass,pass
figures/figure_08_warning_exception_diagnostics.pdf,True,True,True,pass,pass
figures/figure_08_warning_exception_diagnostics.png,True,True,True,pass,pass
tables/table_01_simulation_design.csv,True,True,True,pass,pass
tables/table_01_simulation_design.tex,True,True,True,pass,pass
tables/table_02_overall_estimator_performance.csv,True,True,True,pass,pass
tables/table_02_overall_estimator_performance.tex,True,True,True,pass,pass
tables/table_03_estimator_tradeoffs.csv,True,True,True,pass,pass
tables/table_03_estimator_tradeoffs.tex,True,True,True,pass,pass
tables/table_04_performance_by_quantile.csv,True,True,True,pass,pass
tables/table_04_performance_by_quantile.tex,True,True,True,pass,pass
tables/table_05_performance_by_instrument_strength.csv,True,True,True,pass,pass
tables/table_05_performance_by_instrument_strength.tex,True,True,True,pass,pass
tables/table_06_weakest_scenarios.csv,True,True,True,pass,pass
tables/table_06_weakest_scenarios.tex,True,True,True,pass,pass
tables/table_07_warning_exception_diagnostics.csv,True,True,True,pass,pass
tables/table_07_warning_exception_diagnostics.tex,True,True,True,pass,pass
thesis_findings.json,True,True,True,pass,pass
thesis_output_manifest.json,True,True,True,self_referential_manifest,pass
